Total load,,
MW,,
ENTSO-E,,
date,hour,Value
01/01/2022,0,3928.75
01/01/2022,1,3807.5
01/01/2022,2,3585.5
01/01/2022,3,3441.75
01/01/2022,4,3385
01/01/2022,5,3417
01/01/2022,6,3516.75
01/01/2022,7,3532.25
01/01/2022,8,3534.5
01/01/2022,9,3573.5
01/01/2022,10,3592.75
01/01/2022,11,3627.5
01/01/2022,12,3691
01/01/2022,13,3709.5
01/01/2022,14,3892.75
01/01/2022,15,4135.75
01/01/2022,16,4478.25
01/01/2022,17,4572.5
01/01/2022,18,4565.5
01/01/2022,19,4575
01/01/2022,20,4500
01/01/2022,21,4336.25
01/01/2022,22,4122.75
01/01/2022,23,3886.5
02/01/2022,0,3650.5
02/01/2022,1,3515.5
02/01/2022,2,3352.75
02/01/2022,3,3302
02/01/2022,4,3423.5
02/01/2022,5,3745.75
02/01/2022,6,4281
02/01/2022,7,4610
02/01/2022,8,4781.75
02/01/2022,9,4850.25
02/01/2022,10,4887.25
02/01/2022,11,4973.25
02/01/2022,12,5008.75
02/01/2022,13,4977.5
02/01/2022,14,5041.25
02/01/2022,15,5219.5
02/01/2022,16,5443.25
02/01/2022,17,5453.5
02/01/2022,18,5379.75
02/01/2022,19,5325.5
02/01/2022,20,5164
02/01/2022,21,5028.25
02/01/2022,22,4844.25
02/01/2022,23,4605.25
03/01/2022,0,4296.25
03/01/2022,1,4068.5
03/01/2022,2,3861.5
03/01/2022,3,3782.25
03/01/2022,4,3890
03/01/2022,5,4186.5
03/01/2022,6,4714
03/01/2022,7,5010.25
03/01/2022,8,5147.25
03/01/2022,9,5269
03/01/2022,10,5323.25
03/01/2022,11,5366.5
03/01/2022,12,5421
03/01/2022,13,5410
03/01/2022,14,5450.75
03/01/2022,15,5528.5
03/01/2022,16,5686
03/01/2022,17,5629.25
03/01/2022,18,5550.75
03/01/2022,19,5496.75
03/01/2022,20,5328.5
03/01/2022,21,5155.75
03/01/2022,22,4940
03/01/2022,23,4710
04/01/2022,0,4397.5
04/01/2022,1,4166.5
04/01/2022,2,3977.5
04/01/2022,3,3927.25
04/01/2022,4,4054.75
04/01/2022,5,4357
04/01/2022,6,4925
04/01/2022,7,5245.5
04/01/2022,8,5314
04/01/2022,9,5220.25
04/01/2022,10,5028
04/01/2022,11,4932.75
04/01/2022,12,4947.25
04/01/2022,13,4978
04/01/2022,14,5141.25
04/01/2022,15,5425.5
04/01/2022,16,5710
04/01/2022,17,5756.75
04/01/2022,18,5698.75
04/01/2022,19,5640.25
04/01/2022,20,5475.75
04/01/2022,21,5304
04/01/2022,22,5073.25
04/01/2022,23,4850.5
05/01/2022,0,4502.5
05/01/2022,1,4265.25
05/01/2022,2,4068.25
05/01/2022,3,3990.25
05/01/2022,4,4086.75
05/01/2022,5,4392.75
05/01/2022,6,4926.75
05/01/2022,7,5256
05/01/2022,8,5389.25
05/01/2022,9,5472.75
05/01/2022,10,5530.25
05/01/2022,11,5679.25
05/01/2022,12,5781.75
05/01/2022,13,5706.5
05/01/2022,14,5644.25
05/01/2022,15,5678.75
05/01/2022,16,5780.5
05/01/2022,17,5747.25
05/01/2022,18,5672.25
05/01/2022,19,5600.5
05/01/2022,20,5411.5
05/01/2022,21,5268.5
05/01/2022,22,5063.25
05/01/2022,23,4808.5
06/01/2022,0,4536.5
06/01/2022,1,4319.25
06/01/2022,2,4108.25
06/01/2022,3,4041
06/01/2022,4,4149.25
06/01/2022,5,4459
06/01/2022,6,5029.75
06/01/2022,7,5314.75
06/01/2022,8,5300.25
06/01/2022,9,5184
06/01/2022,10,5205
06/01/2022,11,5215.5
06/01/2022,12,5190.25
06/01/2022,13,5168.5
06/01/2022,14,5299.25
06/01/2022,15,5515.75
06/01/2022,16,5760.25
06/01/2022,17,5782.5
06/01/2022,18,5704
06/01/2022,19,5654.75
06/01/2022,20,5493.25
06/01/2022,21,5314.75
06/01/2022,22,5137
06/01/2022,23,4910
07/01/2022,0,4615.5
07/01/2022,1,4359.5
07/01/2022,2,4177
07/01/2022,3,4072.75
07/01/2022,4,4126
07/01/2022,5,4221.5
07/01/2022,6,4456.5
07/01/2022,7,4694.5
07/01/2022,8,4827.75
07/01/2022,9,4813
07/01/2022,10,4724.25
07/01/2022,11,4716.75
07/01/2022,12,4689.75
07/01/2022,13,4665
07/01/2022,14,4787.25
07/01/2022,15,5032.5
07/01/2022,16,5345.75
07/01/2022,17,5434.5
07/01/2022,18,5383
