Shares of profile_types by NUTS3,,
-,,
Calculated from area type KSH 2011 census data,,
nuts3,profile_type,Value
Bács-Kiskun,budapest,0
Baranya,budapest,0
Békés,budapest,0
Borsod-Abaúj-Zemplén,budapest,0
Budapest,budapest,1
Csongrád-Csanád,budapest,0
Fejér,budapest,0
Győr-Moson-Sopron,budapest,0
Hajdú-Bihar,budapest,0
Heves,budapest,0
Jász-Nagykun-Szolnok,budapest,0
Komárom-Esztergom,budapest,0
Nógrád,budapest,0
Pest,budapest,0
Somogy,budapest,0
Szabolcs-Szatmár-Bereg,budapest,0
Tolna,budapest,0
Vas,budapest,0
Veszprém,budapest,0
Zala,budapest,0
Bács-Kiskun,general,0.263221994
Baranya,general,0.441652901
Békés,general,0.262618662
Borsod-Abaúj-Zemplén,general,0.346901401
Budapest,general,0
Csongrád-Csanád,general,0.421910818
Fejér,general,0.332376354
Győr-Moson-Sopron,general,0.407508769
Hajdú-Bihar,general,0.288304698
Heves,general,0.300908041
Jász-Nagykun-Szolnok,general,0.264392047
Komárom-Esztergom,general,0.419053106
Nógrád,general,0.223530764
Pest,general,0.183634766
Somogy,general,0.245292608
Szabolcs-Szatmár-Bereg,general,0.210893384
Tolna,general,0.25948695
Vas,general,0.364843774
Veszprém,general,0.368659233
Zala,general,0.378216757
Bács-Kiskun,rural,0.736778006
Baranya,rural,0.558347099
Békés,rural,0.737381338
Borsod-Abaúj-Zemplén,rural,0.653098599
Budapest,rural,0
Csongrád-Csanád,rural,0.578089182
Fejér,rural,0.667623646
Győr-Moson-Sopron,rural,0.592491231
Hajdú-Bihar,rural,0.711695302
Heves,rural,0.699091959
Jász-Nagykun-Szolnok,rural,0.735607953
Komárom-Esztergom,rural,0.580946894
Nógrád,rural,0.776469236
Pest,rural,0.816365234
Somogy,rural,0.754707392
Szabolcs-Szatmár-Bereg,rural,0.789106616
Tolna,rural,0.74051305
Vas,rural,0.635156226
Veszprém,rural,0.631340767
Zala,rural,0.621783243
