Electricity consumption profiles,,,
kW,,,
MEKH,,,
date,hour,profile_type,Value
01/01/2022,0,budapest,0.0284675
01/01/2022,1,budapest,0.02477075
01/01/2022,2,budapest,0.022238
01/01/2022,3,budapest,0.020949
01/01/2022,4,budapest,0.02055925
01/01/2022,5,budapest,0.02114125
01/01/2022,6,budapest,0.02332775
01/01/2022,7,budapest,0.02815775
01/01/2022,8,budapest,0.034691
01/01/2022,9,budapest,0.039872
01/01/2022,10,budapest,0.04292875
01/01/2022,11,budapest,0.0450085
01/01/2022,12,budapest,0.04521025
01/01/2022,13,budapest,0.04367225
01/01/2022,14,budapest,0.04251725
01/01/2022,15,budapest,0.04348675
01/01/2022,16,budapest,0.04755925
01/01/2022,17,budapest,0.05139625
01/01/2022,18,budapest,0.052981
01/01/2022,19,budapest,0.05328775
01/01/2022,20,budapest,0.051037
01/01/2022,21,budapest,0.04602575
01/01/2022,22,budapest,0.0391825
01/01/2022,23,budapest,0.03183625
02/01/2022,0,budapest,0.0284675
02/01/2022,1,budapest,0.02477075
02/01/2022,2,budapest,0.022238
02/01/2022,3,budapest,0.020949
02/01/2022,4,budapest,0.02055925
02/01/2022,5,budapest,0.02114125
02/01/2022,6,budapest,0.02332775
02/01/2022,7,budapest,0.02815775
02/01/2022,8,budapest,0.034691
02/01/2022,9,budapest,0.039872
02/01/2022,10,budapest,0.04292875
02/01/2022,11,budapest,0.0450085
02/01/2022,12,budapest,0.04521025
02/01/2022,13,budapest,0.04367225
02/01/2022,14,budapest,0.04251725
02/01/2022,15,budapest,0.04348675
02/01/2022,16,budapest,0.04755925
02/01/2022,17,budapest,0.05139625
02/01/2022,18,budapest,0.052981
02/01/2022,19,budapest,0.05328775
02/01/2022,20,budapest,0.051037
02/01/2022,21,budapest,0.04602575
02/01/2022,22,budapest,0.0391825
02/01/2022,23,budapest,0.03183625
03/01/2022,0,budapest,0.02584175
03/01/2022,1,budapest,0.02218425
03/01/2022,2,budapest,0.0204935
03/01/2022,3,budapest,0.02007075
03/01/2022,4,budapest,0.02077875
03/01/2022,5,budapest,0.0239075
03/01/2022,6,budapest,0.03057675
03/01/2022,7,budapest,0.03492775
03/01/2022,8,budapest,0.0349895
03/01/2022,9,budapest,0.03359475
03/01/2022,10,budapest,0.0319415
03/01/2022,11,budapest,0.0314325
03/01/2022,12,budapest,0.03128025
03/01/2022,13,budapest,0.03107225
03/01/2022,14,budapest,0.032087
03/01/2022,15,budapest,0.0347065
03/01/2022,16,budapest,0.039775
03/01/2022,17,budapest,0.04581475
03/01/2022,18,budapest,0.04982175
03/01/2022,19,budapest,0.05139425
03/01/2022,20,budapest,0.05003575
03/01/2022,21,budapest,0.0457205
03/01/2022,22,budapest,0.039021
03/01/2022,23,budapest,0.03185975
04/01/2022,0,budapest,0.02584175
04/01/2022,1,budapest,0.02218425
04/01/2022,2,budapest,0.0204935
04/01/2022,3,budapest,0.02007075
04/01/2022,4,budapest,0.02077875
04/01/2022,5,budapest,0.0239075
04/01/2022,6,budapest,0.03057675
04/01/2022,7,budapest,0.03492775
04/01/2022,8,budapest,0.0349895
04/01/2022,9,budapest,0.03359475
04/01/2022,10,budapest,0.0319415
04/01/2022,11,budapest,0.0314325
04/01/2022,12,budapest,0.03128025
04/01/2022,13,budapest,0.03107225
04/01/2022,14,budapest,0.032087
04/01/2022,15,budapest,0.0347065
04/01/2022,16,budapest,0.039775
04/01/2022,17,budapest,0.04581475
04/01/2022,18,budapest,0.04982175
04/01/2022,19,budapest,0.05139425
04/01/2022,20,budapest,0.05003575
04/01/2022,21,budapest,0.0457205
04/01/2022,22,budapest,0.039021
04/01/2022,23,budapest,0.03185975
