Number of PVs by NUTS3 between 2008 and 2022,,
-,,
Own calculation based on MEKH,,
nuts3,hist_year,Value
Bács-Kiskun,2008,0.402064359
Baranya,2008,3.046281519
Békés,2008,0.453143483
Borsod-Abaúj-Zemplén,2008,4.251805647
Budapest,2008,26.32165242
Csongrád-Csanád,2008,0.403035823
Fejér,2008,2.580442925
Győr-Moson-Sopron,2008,2.305111444
Hajdú-Bihar,2008,2.646303367
Heves,2008,1.873276428
Jász-Nagykun-Szolnok,2008,1.443267161
Komárom-Esztergom,2008,1.155391037
Nógrád,2008,1.238017072
Pest,2008,49.11946478
Somogy,2008,1.964464305
Szabolcs-Szatmár-Bereg,2008,1.847969455
Tolna,2008,1.319289286
Vas,2008,1.282271403
Veszprém,2008,1.984011971
Zala,2008,1.36273611
Bács-Kiskun,2009,3.618579235
Baranya,2009,6.092563039
Békés,2009,2.356666913
Borsod-Abaúj-Zemplén,2009,5.669074196
Budapest,2009,31.65712251
Csongrád-Csanád,2009,3.627322404
Fejér,2009,6.470801578
Győr-Moson-Sopron,2009,6.403087343
Hajdú-Bihar,2009,6.174707856
Heves,2009,2.497701904
Jász-Nagykun-Szolnok,2009,2.940669995
Komárom-Esztergom,2009,3.209419548
Nógrád,2009,1.650689429
Pest,2009,59.49553683
Somogy,2009,3.928928609
Szabolcs-Szatmár-Bereg,2009,4.311928728
Tolna,2009,2.638578572
Vas,2009,3.561865007
Veszprém,2009,5.511144365
Zala,2009,3.183611938
Bács-Kiskun,2010,10.45367335
Baranya,2010,14.85062241
Békés,2010,6.143410537
Borsod-Abaúj-Zemplén,2010,10.39330269
Budapest,2010,43.3951567
Csongrád-Csanád,2010,10.47893139
Fejér,2010,15.22288207
Győr-Moson-Sopron,2010,14.85516264
Hajdú-Bihar,2010,11.02626403
Heves,2010,4.579120158
Jász-Nagykun-Szolnok,2010,5.278304571
Komárom-Esztergom,2010,7.445853351
Nógrád,2010,3.026263953
Pest,2010,82.5256999
Somogy,2010,9.576763485
Szabolcs-Szatmár-Bereg,2010,7.699872729
Tolna,2010,6.43153527
Vas,2010,8.263526817
Veszprém,2010,12.78585493
Zala,2010,7.567799039
Bács-Kiskun,2011,28.54656952
Baranya,2011,42.26715608
Békés,2011,17.58242022
Borsod-Abaúj-Zemplén,2011,17.95206829
Budapest,2011,59.75726496
Csongrád-Csanád,2011,28.61554341
Fejér,2011,41.25383067
Győr-Moson-Sopron,2011,39.44301804
Hajdú-Bihar,2011,38.37139882
Heves,2011,7.909389363
Jász-Nagykun-Szolnok,2011,16.53924186
Komárom-Esztergom,2011,19.77002442
Nógrád,2011,5.227183191
Pest,2011,116.7033633
Somogy,2011,27.25694223
Szabolcs-Szatmár-Bereg,2011,26.7955571
Tolna,2011,18.30513884
Vas,2011,21.94108845
Veszprém,2011,33.94864929
Zala,2011,20.814152
Bács-Kiskun,2012,108.1553127
Baranya,2012,109.6661347
Békés,2012,64.69462511
Borsod-Abaúj-Zemplén,2012,67.5564675
Budapest,2012,166.1109687
Csongrád-Csanád,2012,108.4166363
Fejér,2012,112.9189429
Győr-Moson-Sopron,2012,110.3892258
Hajdú-Bihar,2012,125.6994099
Heves,2012,29.76428102
Jász-Nagykun-Szolnok,2012,55.05871939
Komárom-Esztergom,2012,55.33039301
Nógrád,2012,19.67071569
Pest,2012,331.0943146
Somogy,2012,70.72071497
Szabolcs-Szatmár-Bereg,2012,87.77854911
Tolna,2012,47.4944143
Vas,2012,61.40655273
Veszprém,2012,95.01212885
Zala,2012,56.0614928
Bács-Kiskun,2013,253.3005464
Baranya,2013,283.6849665
Békés,2013,156.5737648
Borsod-Abaúj-Zemplén,2013,197.0003283
Budapest,2013,446.4009972
Csongrád-Csanád,2013,253.9125683
Fejér,2013,274.8995574
Győr-Moson-Sopron,2013,262.0143341
Hajdú-Bihar,2013,346.2246905
Heves,2013,86.79514117
Jász-Nagykun-Szolnok,2013,152.7498929
Komárom-Esztergom,2013,131.3294479
Nógrád,2013,57.36145765
Pest,2013,894.9046091
Somogy,2013,182.9407384
Szabolcs-Szatmár-Bereg,2013,241.7760037
Tolna,2013,122.8588148
Vas,2013,145.7515161
Veszprém,2013,225.5160274
Zala,2013,139.0045974
Bács-Kiskun,2014,550.8281724
Baranya,2014,499.9709544
Békés,2014,329.5507581
Borsod-Abaúj-Zemplén,2014,389.2764281
Budapest,2014,760.8380342
Csongrád-Csanád,2014,552.1590771
Fejér,2014,470.8359007
Győr-Moson-Sopron,2014,443.0936442
Hajdú-Bihar,2014,640.8464653
Heves,2014,171.5088641
Jász-Nagykun-Szolnok,2014,285.2072744
Komárom-Esztergom,2014,222.0918327
Nógrád,2014,113.3473408
Pest,2014,1544.920982
Somogy,2014,322.417704
Szabolcs-Szatmár-Bereg,2014,447.516603
Tolna,2014,216.5283541
Vas,2014,246.4810585
Veszprém,2014,381.37119
Zala,2014,240.2093614
Bács-Kiskun,2015,927.9645416
Baranya,2015,970.2406639
Békés,2015,556.0530073
Borsod-Abaúj-Zemplén,2015,738.8693368
Budapest,2015,1152.817236
Csongrád-Csanád,2015,930.2066788
Fejér,2015,847.2272975
Győr-Moson-Sopron,2015,768.8827282
Hajdú-Bihar,2015,1088.512785
Heves,2015,325.5338148
Jász-Nagykun-Szolnok,2015,492.2387447
Komárom-Esztergom,2015,385.3870993
Nógrád,2015,215.1398555
Pest,2015,2393.532563
Somogy,2015,625.6818811
Szabolcs-Szatmár-Bereg,2015,760.1314358
Tolna,2015,420.1936376
Vas,2015,427.7087501
Veszprém,2015,661.7782153
Zala,2015,442.899727
Bács-Kiskun,2016,1299.069945
Baranya,2016,1263.064475
Békés,2016,764.4814642
Borsod-Abaúj-Zemplén,2016,991.1431385
Budapest,2016,1650.794444
Csongrád-Csanád,2016,1302.208743
Fejér,2016,1116.956157
Győr-Moson-Sopron,2016,1020.139876
Hajdú-Bihar,2016,1380.929307
Heves,2016,436.6815496
Jász-Nagykun-Szolnok,2016,629.8739846
Komárom-Esztergom,2016,511.3247224
Nógrád,2016,288.5955351
Pest,2016,3392.889827
Somogy,2016,814.5160123
Szabolcs-Szatmár-Bereg,2016,964.3320606
Tolna,2016,547.0103202
Vas,2016,567.476333
Veszprém,2016,878.0355202
Zala,2016,581.4765842
Bács-Kiskun,2017,1707.16527
Baranya,2017,1877.651771
Békés,2017,1025.74664
Borsod-Abaúj-Zemplén,2017,1341.680893
Budapest,2017,2416.612251
Csongrád-Csanád,2017,1711.290103
Fejér,2017,1708.342749
Győr-Moson-Sopron,2017,1582.074821
Hajdú-Bihar,2017,2031.037834
Heves,2017,591.122784
Jász-Nagykun-Szolnok,2017,914.7483376
Komárom-Esztergom,2017,792.9833819
Nógrád,2017,390.6631648
Pest,2017,4936.616166
Somogy,2017,1210.846686
Szabolcs-Szatmár-Bereg,2017,1418.316557
Tolna,2017,813.1769337
Vas,2017,880.065606
Veszprém,2017,1361.69355
Zala,2017,881.1645013
Bács-Kiskun,2018,2388.664359
Baranya,2018,2493.762209
Békés,2018,1412.743275
Borsod-Abaúj-Zemplén,2018,1902.446815
Budapest,2018,3553.423077
Csongrád-Csanád,2018,2394.435823
Fejér,2018,2333.299629
Győr-Moson-Sopron,2018,2189.343624
Hajdú-Bihar,2018,2611.460373
Heves,2018,838.1871307
Jász-Nagykun-Szolnok,2018,1193.970234
Komárom-Esztergom,2018,1097.364732
Nógrád,2018,553.9438608
Pest,2018,7206.087195
Somogy,2018,1608.159591
Szabolcs-Szatmár-Bereg,2018,1823.637857
Tolna,2018,1080.003192
Vas,2018,1217.872883
Veszprém,2018,1884.370481
Zala,2018,1192.823658
Bács-Kiskun,2019,3311
Baranya,2019,3579
Békés,2019,1977
